name,description,coordinates
CELDA TOTOPOSTE (IMORGTTO),"CELDA TOTOPOSTE(IMORGTTO)
id celda:4560
isla: PUERTO BARRIOS","[(15.394138888889, -88.886333333333)]"
LIVINGSTONE (ILIVGTLI),"LIVINGSTONE(ILIVGTLI)
id celda:
isla: PUERTO BARRIOS","[(15.825305, -88.74935)]"
CELDA SANTA LUCIA JIQUITI (ILIVGTSL),"CELDA SANTA LUCIA JIQUITI(ILIVGTSL)
id celda:
Isla: PUERTO BARRIOS","[(15.8577, -89.1891)]"
CELDA MODESTO MENDEZ (ILIVGTMM),"CELDA MODESTO MENDEZ(ILIVGTMM)
id celda:1475
isla: PUERTO BARRIOS","[(15.8749, -89.2213)]"
CELDA EL CINCHADO (IPBAGTEC),"CELDA EL CINCHADO(IPBAGTEC)
id celda:
isla: PUERTO BARRIOS","[(15.6191, -88.431277777778)]"
CELDA BUENA VISTA MIRAMAR (ILIVGTBV),"CELDA BUENA VISTA MIRAMAR(ILIVGTBV)
id celda:3613
isla: PUERTO BARRIOS","[(15.8099, -88.7521)]"
CELDA PUERTO BARRIOS III (IPBAGTPA),"CELDA PUERTO BARRIOS III(IPBAGTPA)
id celda:1495
isla: PUERTO BARRIOS","[(15.698638888889, -88.581666666667)]"
MSAN DOMINGO JUARROS (IPBAGTMD),"MSAN DOMINGO JUARROS(IPBAGTMD)
id celda:
Isla: PUERTO BARRIOS","[(15.727138888889, -88.595883333333)]"
MSAN LAS TORRES (IPBAGTMT),"MSAN LAS TORRES(IPBAGTMT)
id celda:
isla: PUERTO BARRIOS","[(15.725825, -88.585175)]"
CELDA LA TORTUGA (PSLUGTTO),"CELDA LA TORTUGA(PSLUGTTO)
id celda:2541
Isla: PUERTO BARRIOS","[(16.085833333333, -89.458888888889)]"
CELDA LA PIMIENTA (PSLUGTPI),"CELDA LA PIMIENTA(PSLUGTPI)
id celda:2543
isla: PUERTO BARRIOS","[(16.0095, -89.66575)]"
MSAN 20 CALLE (IPBAGTM2),"MSAN 20 CALLE(IPBAGTM2)
id celda:
isla: PUERTO BARRIOS","[(15.72045, -88.594438888889)]"
MSAN JUSTO RUFINO BARRIOS (IPBAGTMJ),"MSAN JUSTO RUFINO BARRIOS(IPBAGTMJ)
id celda:
isla: PUERTO BARRIOS","[(15.718552777778, -88.594811111111)]"
MSAN HENRY STOCK (IPBAGTMH),"MSAN HENRY STOCK(IPBAGTMH)
id celda:
isla: PUERTO BARRIOS","[(15.720822222222, -88.595625)]"
RIO DULCE (ILIVGTRD),"RIO DULCE(ILIVGTRD)
id celda:1419
isla: PUERTO BARRIOS","[(15.657222222222, -89.008055555556)]"
CELDA CASTILLO DE SAN FELIPE (ILIVGTCA),"CELDA CASTILLO DE SAN FELIPE(ILIVGTCA)
id celda:
isla: PUERTO BARRIOS","[(15.6346, -89.0009)]"
CELDA SAN ANTONIO SEJA (ILIVGTSN),"CELDA SAN ANTONIO SEJA(ILIVGTSN)
id celda:3406
isla: PUERTO BARRIOS","[(15.6844, -89.044997222222)]"
CELDA TIJAX (ILIVGTTI),"CELDA TIJAX(ILIVGTTI)
id celda:4588
isla: PUERTO BARRIOS","[(15.672222222222, -89.002305555556)]"
