name,description,coordinates
POPTUN (PPOPGTPO),"POPTUN(PPOPGTPO)
id celda:1430
isla: POPTUN","[(16.335, -89.422222222222)]"
CELDA LA BLANCA OCOS (NOCOGTLB),"CELDA LA BLANCA OCOS(NOCOGTLB)
id celda:3518
Isla: TECUN UMAN","[(14.582638888889, -92.136305555556)]"
CELDA LOS LIMONES OCOS (NOCOGTLL),"CELDA LOS LIMONES OCOS(NOCOGTLL)
id celda:
isla: TECUN UMAN","[(14.5894, -92.175)]"
CELDA OCOS (NOCOGTOO),"CELDA OCOS(NOCOGTOO)
id celda:2251
Isla: TECUN UMAN","[(14.50925, -92.190083333333)]"
TECUN UMAN (NAYUGTTU),"TECUN UMAN(NAYUGTTU)
id celda:2242
isla: TECUN UMAN","[(14.676388888889, -92.13891666666701)]"
CELDA CHIQUIRINES (NOCOGTCI),"CELDA CHIQUIRINES(NOCOGTCI)
id celda:
isla: TECUN UMAN","[(14.566305555556, -92.05444444444399)]"
CELDA CRUCE A TECUN UMAN Y MALACATAN (NAYUGTCA),"CELDA CRUCE A TECUN UMAN Y MALACATAN(NAYUGTCA)
id celda:2278
Isla: TECUN UMAN","[(14.7106, -92.1014)]"
CELDA SANTA MARIA EL NARANJO (QCOAGTSM),"CELDA SANTA MARIA EL NARANJO(QCOAGTSM)
id celda:4747
isla: TECUN UMAN","[(14.683319444444, -92.061197222222)]"
COMUNIDAD MANZANALES (ASSAGTCM),"COMUNIDAD MANZANALES(ASSAGTCM)
id celda:
Isla: SAN LUCAS SACATEPEQUEZ","[(14.648558333333, -90.704227777778)]"
SAN LUCAS SACATEPEQUEZ (ASLSGTSL),"SAN LUCAS SACATEPEQUEZ(ASLSGTSL)
id celda:
isla: SAN LUCAS SACATEPEQUEZ","[(14.608888888889, -90.65555555555602)]"
CELDA SAN BARTOLOME MILPAS ALTAS (ASBMGTSA),"CELDA SAN BARTOLOME MILPAS ALTAS(ASBMGTSA)
id celda:2874
Isla: SAN LUCAS SACATEPEQUEZ","[(14.6083, -90.67040277777801)]"
CELDA JARDINES DE SANTIAGO (ASSAGTJS),"CELDA JARDINES DE SANTIAGO(ASSAGTJS)
id celda:3514
Isla: SAN LUCAS SACATEPEQUEZ","[(14.62525, -90.662444444444)]"
CELDA SANTA LUCIA MILPAS ALTAS (ASLMGTSU),"CELDA SANTA LUCIA MILPAS ALTAS(ASLMGTSU)
id celda:2301
Isla: SAN LUCAS SACATEPEQUEZ","[(14.576938888889, -90.679983333333)]"
CELDA PARQUE FLORENCIA (ASLMGTPF),"CELDA PARQUE FLORENCIA(ASLMGTPF)
id celda:4551
isla: SAN LUCAS SACATEPEQUEZ","[(14.57, -90.671055555556)]"
CELDA SANTO TOMAS MILPAS ALTAS (ASLMGTSO),"CELDA SANTO TOMAS MILPAS ALTAS(ASLMGTSO)
id celda:3642
isla: SAN LUCAS SACATEPEQUEZ","[(14.552083333333, -90.672638888889)]"
SANTIAGO SACATEPEQUEZ (ASSAGTSA),"SANTIAGO SACATEPEQUEZ(ASSAGTSA)
id celda:2307
Isla: SAN LUCAS SACATEPEQUEZ","[(14.636280555556, -90.674161111111)]"
CELDA FINCA LA LABOR (BARCENAS -  ANTIGUA) (ASLMGTFL),"CELDA FINCA LA LABOR (BARCENAS -  ANTIGUA)(ASLMGTFL)
id celda:2345
Isla: SAN LUCAS SACATEPEQUEZ","[(14.578222222222, -90.65291666666698)]"
CELDA SAN ANDRES ITZAPA (CSAIGTSN),"CELDA SAN ANDRES ITZAPA(CSAIGTSN)
id celda:2341
isla: SAN LUCAS SACATEPEQUEZ
ANTIGUA GUATEMALA","[(14.6228, -90.83529999999999)]"
CELDA LABOR DE CASTILLA (GMIXGTLT),"CELDA LABOR DE CASTILLA(GMIXGTLT)
id celda:2381
isla: SAN LUCAS SACATEPEQUEZ","[(14.6063, -90.63309999999998)]"
CERRO EL JARDIN (ASSAGTEJ),"CERRO EL JARDIN(ASSAGTEJ)
id celda:4579
isla: SAN LUCAS SACATEPEQUEZ","[(14.635833333333, -90.644444444444)]"
CELDA LA LIBERTAD (ASLMGTLL),"CELDA LA LIBERTAD(ASLMGTLL)
id celda:2680
isla: SAN LUCAS SACATEPEQUEZ","[(14.591555555556, -90.665444444444)]"
SAN ANDRES ITZAPA (CSAIGTSA),"SAN ANDRES ITZAPA(CSAIGTSA)
id celda:
isla: ANTIGUA GUATEMALA","[(14.6222, -90.836399722222)]"
CELDA LOS APOSENTOS (CHMLGTLA),"CELDA LOS APOSENTOS(CHMLGTLA)
id celda:3305
isla: SAN LUCAS SACATEPEQUEZ","[(14.630916666667, -90.814055555556)]"
REP_ CERRO BOBI XT (HSMIGTRC),"REP_ CERRO BOBI XT(HSMIGTRC)
id celda:
Isla: HUEHUETENANGO","[(15.80561, -91.47742999999998)]"
CERRO LA CUMBRE (HSMIGTLC),"CERRO LA CUMBRE(HSMIGTLC)
id celda:2453
isla: HUEHUETENANGO","[(15.806111111111, -91.47722222222198)]"
SANTA EULALIA (HSEUGTSE),"SANTA EULALIA(HSEUGTSE)
id celda:2444
isla: HUEHUETENANGO","[(15.7381, -91.46079999999999)]"
CELDA CHICAMAN (KCHCGTCI),"CELDA CHICAMAN(KCHCGTCI)
id celda:2445
Isla: HUEHUETENANGO","[(15.3493, -90.802802777778)]"
USPANTAN (KUSPGTUS),"USPANTAN(KUSPGTUS)
id celda:2452
isla: HUEHUETENANGO","[(15.3475, -90.872777777778)]"
CELDA PACHALUM (KPACGTPC),"CELDA PACHALUM(KPACGTPC)
id celda:
Isla: SANTA CRUZ DEL QUICHE","[(14.9267, -90.666802777778)]"
JOYABAJ (KJOYGTJO),"JOYABAJ(KJOYGTJO)
id celda:2406
isla: SANTA CRUZ DEL QUICHE","[(14.991944444444, -90.806944444444)]"
PATZITE (KPATGTPA),"PATZITE(KPATGTPA)
id celda:2402
Isla: SANTA CRUZ DEL QUICHE","[(14.9652, -91.208602777778)]"
CELDA SANTA MARIA CHIQUIMULA (TSMCGTSM),"CELDA SANTA MARIA CHIQUIMULA(TSMCGTSM)
id celda:2469
isla: SANTA CRUZ DEL QUICHE
SOLOLA","[(15.0238, -91.34270000000001)]"
CELDA CHICALTE (KPATGTCH),"CELDA CHICALTE(KPATGTCH)
id celda:
isla: SANTA CRUZ DEL QUICHE","[(14.977166666667, -91.16788888888898)]"
CELDA EL RANCHO TOTONICAPAN (TSMCGTER),"CELDA EL RANCHO TOTONICAPAN(TSMCGTER)
id celda:4528
isla: SANTA CRUZ DEL QUICHE
SOLOLA","[(15.0089, -91.3878)]"
QUICHE_XT (KSCQGTQU),"QUICHE_XT(KSCQGTQU)
id celda:6511
Isla: SANTA CRUZ DEL QUICHE","[(15.0291008, -91.1513093)]"
SANTA CRUZ DEL QUICHE (KSCQGTSC),"SANTA CRUZ DEL QUICHE(KSCQGTSC)
id celda:2403
isla: SANTA CRUZ DEL QUICHE","[(15.0318, -91.14760000000001)]"
CELDA ZACUALPA - CHINIQUE II (KCHHGTZC),"CELDA ZACUALPA - CHINIQUE II(KCHHGTZC)
id celda:3682
Isla: SANTA CRUZ DEL QUICHE","[(15.015277777778, -90.989916666667)]"
ZACUALPA (KZACGTZA),"ZACUALPA(KZACGTZA)
id celda:2405
isla: SANTA CRUZ DEL QUICHE","[(15.026111111111, -90.879444444444)]"
QUETZALTENANGO (QTZLGTXC),"QUETZALTENANGO(QTZLGTXC)
id celda:2313
Isla: RCT
QUETZALTENANGO","[(14.834444444444, -91.521111111111)]"
CELDA QUETZALTENANGO X (SALIDA A ALMOLONGA) (QTZLGTQS),"CELDA QUETZALTENANGO X (SALIDA A ALMOLONGA)(QTZLGTQS)
id celda:2387
isla: QUETZALTENANGO","[(14.826361111111, -91.51311111111099)]"
CELDA QUETZALTENANGO VIII (LLANOS DEL PINAL) - PALAJUNOJ (QTZLGTQ8),"CELDA QUETZALTENANGO VIII (LLANOS DEL PINAL) - PALAJUNOJ(QTZLGTQ8)
id celda:2357
Isla: QUETZALTENANGO","[(14.794811111111, -91.54255000000002)]"
CELDA PERIFERICO XELA COUBICADO (QTZLGTPX),"CELDA PERIFERICO XELA COUBICADO(QTZLGTPX)
id celda:2011
Isla: QUETZALTENANGO","[(14.865427777778, -91.483219444444)]"
CELDA QUETZALTENANGO IV (QTZLGTQ4),"CELDA QUETZALTENANGO IV(QTZLGTQ4)
id celda:2373
isla: QUETZALTENANGO","[(14.841219444444, -91.535911111111)]"
CELDA AEREOPUERTO QUETZALTENANGO (QTZLGTAQ),"CELDA AEREOPUERTO QUETZALTENANGO(QTZLGTAQ)
id celda:1500
Isla: QUETZALTENANGO","[(14.866555555556, -91.498305555556)]"
CELDA SAN JOSE CHIQUILAJA (QTZLGTSS),"CELDA SAN JOSE CHIQUILAJA(QTZLGTSS)
id celda:5016
isla: QUETZALTENANGO","[(14.876669444444, -91.48455)]"
COLOMBA COSTA CUCA (QCOLGTCO),"COLOMBA COSTA CUCA(QCOLGTCO)
id celda:2238
Isla: COATEPEQUE","[(14.7068, -91.73180000000002)]"
CELDA LAS MERCEDES (QCOLGTLM),"CELDA LAS MERCEDES(QCOLGTLM)
id celda:4593
isla: COATEPEQUE","[(14.706944444444, -91.75802777777801)]"
COATEPEQUE (QCOAGTCO),"COATEPEQUE(QCOAGTCO)
id celda:2240
isla: COATEPEQUE","[(14.702777777778, -91.861388888889)]"
CELDA COATEPEQUE II (QCOAGTC2),"CELDA COATEPEQUE II(QCOAGTC2)
id celda:2244
Isla: COATEPEQUE","[(14.698055555556, -91.87)]"
CELDA NUEVO CHUATUJ (QCOAGTNH),"CELDA NUEVO CHUATUJ(QCOAGTNH)
id celda:3202
isla: COATEPEQUE","[(14.67575, -91.879833333333)]"
EL QUETZAL (NQUEGTQU),"EL QUETZAL(NQUEGTQU)
id celda:2250
Isla: COATEPEQUE","[(14.7678, -91.818)]"
LAS PALMAS (QCOAGTPA),"LAS PALMAS(QCOAGTPA)
id celda:
Isla: COATEPEQUE","[(14.701388888889, -91.995833333333)]"
CELDA LAS MARAVILLAS (QCOAGTLM),"CELDA LAS MARAVILLAS(QCOAGTLM)
id celda:2237
isla: COATEPEQUE","[(14.695222222222, -91.947416666667)]"
CELDA MIRANDIA (QCOAGTMI),"CELDA MIRANDIA(QCOAGTMI)
id celda:4708
isla: COATEPEQUE","[(14.7091, -92.014269444444)]"
PAJAPITA (NPAJGTPA),"PAJAPITA(NPAJGTPA)
id celda:2241
isla: MALACATAN","[(14.721944444444, -92.035)]"
CELDA SAN RAFAEL PACAYA II (QCOAGTSA),"CELDA SAN RAFAEL PACAYA II(QCOAGTSA)
id celda:3206
Isla: COATEPEQUE","[(14.623611111111, -91.933472222222)]"
GENOVA (QGENGTGE),"GENOVA(QGENGTGE)
id celda:2258
Isla: COATEPEQUE","[(14.622388888889, -91.83608888888898)]"
SAN MIGUELITO (QGENGTSM),"SAN MIGUELITO(QGENGTSM)
id celda:3526
isla: COATEPEQUE","[(14.5791, -91.80570277777798)]"
CELDA FLORES COSTA CUCA (QFCCGTFO),"CELDA FLORES COSTA CUCA(QFCCGTFO)
id celda:2266
isla: COATEPEQUE","[(14.6591, -91.825997222222)]"
GENOVA_XT_SBA (QGENGTGX),"GENOVA_XT_SBA(QGENGTGX)
id celda:4868
isla: COATEPEQUE","[(14.620823311111, -91.832314869444)]"
CELDA FINCA XELAJU COSTA CUCA (QFCCGTFX),"CELDA FINCA XELAJU COSTA CUCA(QFCCGTFX)
id celda:3346
Isla: COATEPEQUE","[(14.652955555556, -91.828952777778)]"
IGLESIA IGSUU (QCOAGTII),"IGLESIA IGSUU(QCOAGTII)
id celda:
Isla: COATEPEQUE","[(14.701111111111, -91.86361111111098)]"
BARRIO LAS CASAS (QCOAGTBC),"BARRIO LAS CASAS(QCOAGTBC)
id celda:
isla: COATEPEQUE","[(14.704166666667, -91.858888888889)]"
HOSPITAL NACIONAL DE COATEPEQUE (QCOAGTHN),"HOSPITAL NACIONAL DE COATEPEQUE(QCOAGTHN)
id celda:
Isla: COATEPEQUE","[(14.698888888889, -91.870555555556)]"
BARRIO SAN FRANCISCO (QCOAGTBS),"BARRIO SAN FRANCISCO(QCOAGTBS)
id celda:
isla: COATEPEQUE","[(14.698333333333, -91.86361111111098)]"
ESCUELA DE PARVULOS EL JARDIN (QCOAGTEP),"ESCUELA DE PARVULOS EL JARDIN(QCOAGTEP)
id celda:
isla: COATEPEQUE","[(14.705555555556, -91.866944444444)]"
LA TERMINAL (QCOAGTTE),"LA TERMINAL(QCOAGTTE)
id celda:
isla: COATEPEQUE","[(14.705555555556, -91.87)]"
LA UNION COATEPEQUE_XT (QCOAGTUO),"LA UNION COATEPEQUE_XT(QCOAGTUO)
id celda:5207
Isla: COATEPEQUE","[(14.69884, -91.91361000000002)]"
CELDA LA UNION COATEPEQUE (QCOAGTLU),"CELDA LA UNION COATEPEQUE(QCOAGTLU)
id celda:3201
isla: COATEPEQUE","[(14.703888888889, -91.90358333333299)]"
CELDA SAN JOSE IXTAL (NREFGTSJ),"CELDA SAN JOSE IXTAL(NREFGTSJ)
id celda:3209
Isla: COATEPEQUE","[(14.740277777778, -91.896777777778)]"
CELDA COATEPEQUE ORIENTE (T1-341) COUBICADO (QCOAGTCR),"CELDA COATEPEQUE ORIENTE (T1-341) COUBICADO(QCOAGTCR)
id celda:5541
Isla: COATEPEQUE","[(14.700336111111, -91.857933333333)]"
CELDA SAN ISIDRO COATEPEQUE (QCOAGTSC),"CELDA SAN ISIDRO COATEPEQUE(QCOAGTSC)
id celda:3524
Isla: COATEPEQUE","[(14.712805555556, -91.876583333333)]"
COLONIA SAN ANTONIO (QCOAGTCS),"COLONIA SAN ANTONIO(QCOAGTCS)
id celda:
Isla: COATEPEQUE","[(14.703055555556, -91.84805555555599)]"
CELDA SINTANA (NQUEGTSI),"CELDA SINTANA(NQUEGTSI)
id celda:3207
Isla: COATEPEQUE","[(14.724916666667, -91.869777777778)]"
CELDA FINCA FLORENCIA (QCOLGTFF),"CELDA FINCA FLORENCIA(QCOLGTFF)
id celda:2236
Isla: COATEPEQUE","[(14.697166666667, -91.79275)]"
CELDA XAB Y FINCA FLORENCIA (QCOLGTXI),"CELDA XAB Y FINCA FLORENCIA(QCOLGTXI)
id celda:4206
isla: COATEPEQUE","[(14.6564, -91.7728)]"
CELDA FINCA EL CARMEN (QGENGTEC),"CELDA FINCA EL CARMEN(QGENGTEC)
id celda:
isla: COATEPEQUE","[(14.617555555556, -91.766527777778)]"
CELDA COATEPEQUE Y FINCA FLORENCIA (QCOAGTCI),"CELDA COATEPEQUE Y FINCA FLORENCIA(QCOAGTCI)
id celda:2290
Isla: COATEPEQUE","[(14.696166666667, -91.837527777778)]"
CERRO EL PARAISO (QCOLGTEP),"CERRO EL PARAISO(QCOLGTEP)
id celda:9416
Isla: COATEPEQUE","[(14.714444444444, -91.764444444444)]"
CELDA LA REFORMA (NREFGTLR),"CELDA LA REFORMA(NREFGTLR)
id celda:
isla: COATEPEQUE","[(14.799944444444, -91.820166666667)]"
CELDA NUEVO PROGRESO (NNPRGTNR),"CELDA NUEVO PROGRESO(NNPRGTNR)
id celda:
Isla: COATEPEQUE","[(14.7943, -91.919)]"
SAN CRISTOBAL VERAPAZ (VSCVGTSC),"SAN CRISTOBAL VERAPAZ(VSCVGTSC)
id celda:
Isla: COBAN","[(15.364722222222, -90.47916666666701)]"
CERRO CHIKUT (VSCVGTCH),"CERRO CHIKUT(VSCVGTCH)
id celda:9540
isla: COBAN","[(15.393611111111, -90.56388888888901)]"
COBAN (VCOBGTCO),"COBAN(VCOBGTCO)
id celda:5310
isla: COBAN","[(15.469722222222, -90.373888888889)]"
SANTA CRUZ VERAPAZ (VSCRGTSC),"SANTA CRUZ VERAPAZ(VSCRGTSC)
id celda:1316
isla: COBAN","[(15.3723, -90.42859722222201)]"
CELDA TUCANJA (VSCVGTTU),"CELDA TUCANJA(VSCVGTTU)
id celda:1962
isla: COBAN","[(15.370972222222, -90.474694444444)]"
CELDA SAN CRISTOBAL VERAPAZ (VSCVGTSV),"CELDA SAN CRISTOBAL VERAPAZ(VSCVGTSV)
id celda:1337
isla: COBAN","[(15.362583333333, -90.483388888889)]"
PLAYA GRANDE (KUSPGTPG),"PLAYA GRANDE(KUSPGTPG)
id celda:2427
isla: COBAN","[(15.930555555556, -90.738888888889)]"
PASIVO FRAY BARTOLOME (VFBCGTPF),"PASIVO FRAY BARTOLOME(VFBCGTPF)
id celda:1435
Isla: COBAN","[(15.815277777778, -89.873333333333)]"
FRAY BARTOLOME DE LAS CASAS (VFBCGTFB),"FRAY BARTOLOME DE LAS CASAS(VFBCGTFB)
id celda:9502
isla: COBAN","[(15.810833333333, -89.876111111111)]"
RAXRUJA (VCHIGTRA),"RAXRUJA(VCHIGTRA)
id celda:1445
isla: COBAN","[(15.8647, -90.04060277777802)]"
HIDROELECTRICA RENACE 2_XT (VSPCGTHE),"HIDROELECTRICA RENACE 2_XT(VSPCGTHE)
id celda:6493
Isla: COBAN","[(15.497069, -90.17412500000002)]"
TACTIC (VTACGTTA),"TACTIC(VTACGTTA)
id celda:1431
isla: COBAN","[(15.3239, -90.3507)]"
CELDA CHIQUIBUL (VCHIGTCQ),"CELDA CHIQUIBUL(VCHIGTCQ)
id celda:1552
isla: COBAN","[(15.933555555556, -90.528888888889)]"
CELDA PINARES CAHABON (VCAHGTPC),"CELDA PINARES CAHABON(VCAHGTPC)
id celda:
Isla: COBAN","[(15.541858333333, -89.866208333333)]"
CELDA SESIPCHE (VLANGTSE),"CELDA SESIPCHE(VLANGTSE)
id celda:5254
isla: COBAN","[(15.633111111111, -89.951111111111)]"
TIVOLI (GNCYGTAK),"TIVOLI(GNCYGTAK)
id celda:1131-5257
Isla: TIVOLI
RCT
OSS

TEMP
IPTV, HFC TIVOLI
CORE
ROUTE REFLECTOR","[(14.608822222222, -90.515472222222)]"
TIVOLI (TIV-TLG-),"TIVOLI(TIV-TLG-)
id celda:
isla: TIVOLI","[(14.608822222222, -90.515472222222)]"
AZACUALPILLA (GPALGTAZ),"AZACUALPILLA(GPALGTAZ)
id celda:
Isla: LOURDES","[(14.7235, -90.363097222222)]"
LLANO LARGO (GNCYGTLL),"LLANO LARGO(GNCYGTLL)
id celda:1202
isla: LOURDES","[(14.689972222222, -90.399997222222)]"
CRISTO REY (GSCPGTCR),"CRISTO REY(GSCPGTCR)
id celda:
Isla: DON JUSTO","[(14.570888888889, -90.445186111111)]"
DON JUSTO (GSCPGTDJ),"DON JUSTO(GSCPGTDJ)
id celda:1112
isla: DON JUSTO","[(14.538111111111, -90.457527777778)]"
CELDA SAJCAVILLA (GSJSGTSA),"CELDA SAJCAVILLA(GSJSGTSA)
id celda:2160
Isla: MONTE VERDE","[(14.7059, -90.621)]"
SAN JUAN SACATEPEQUEZ (GSJSGTSJ),"SAN JUAN SACATEPEQUEZ(GSJSGTSJ)
id celda:2368
isla: MONTE VERDE","[(14.718638888889, -90.642944444444)]"
CELDA ALDEA CHITOL (GSJSGTAC),"CELDA ALDEA CHITOL(GSJSGTAC)
id celda:4115-4116
isla: MONTE VERDE","[(14.706788888889, -90.63766111111099)]"
SAN PEDRO - SANTO DOMINGO XENACOJ_XT_TR (GSJSGTSD),"SAN PEDRO - SANTO DOMINGO XENACOJ_XT_TR(GSJSGTSD)
id celda:4269
Isla: MONTE VERDE","[(14.6894, -90.66889999999998)]"
CELDA SAN PEDRO SACATEPEQUEZ (GSPSGTPA),"CELDA SAN PEDRO SACATEPEQUEZ(GSPSGTPA)
id celda:2370
isla: MONTE VERDE","[(14.686666666667, -90.640277777778)]"
MIXCO 2 (GUA040)_XT_SBA (GMIXGTI2),"MIXCO 2 (GUA040)_XT_SBA(GMIXGTI2)
id celda:3941
Isla: MONTE VERDE","[(14.6296, -90.6004)]"
MIXCO (GMIXGTMI),"MIXCO(GMIXGTMI)
id celda:2132
isla: MONTE VERDE","[(14.629166666667, -90.608888888889)]"
CELDA CRUZ BLANCA (GSJSGTCB),"CELDA CRUZ BLANCA(GSJSGTCB)
id celda:3713
Isla: MONTE VERDE","[(14.728305555556, -90.668222222222)]"
CELDA GRANADOS (BGRAGTGA),"CELDA GRANADOS(BGRAGTGA)
id celda:3423
Isla: MONTE VERDE","[(14.912055555556, -90.53750000000001)]"
CELDA CHUARRANCHO (GCHUGTCU),"CELDA CHUARRANCHO(GCHUGTCU)
id celda:2481
isla: MONTE VERDE","[(14.817194444444, -90.528166666667)]"
CELDA MIRALVALLE I (GMIXGTM1),"CELDA MIRALVALLE I(GMIXGTM1)
id celda:2580
Isla: MONTE VERDE","[(14.616058333333, -90.62158888888898)]"
CELDA MIRALVALLE II (GMIXGTA2),"CELDA MIRALVALLE II(GMIXGTA2)
id celda:2578
isla: MONTE VERDE","[(14.610325, -90.623372222222)]"
CELDA EL PERIODISTA II (GMIXGTEP),"CELDA EL PERIODISTA II(GMIXGTEP)
id celda:
Isla: MONTE VERDE","[(14.631027777778, -90.583355555556)]"
MOLINO DE LAS FLORES (GMIXGTMF),"MOLINO DE LAS FLORES(GMIXGTMF)
id celda:2091
isla: MONTE VERDE","[(14.634777777778, -90.59244444444398)]"
MONTE VERDE (GMIXGTMV),"MONTE VERDE(GMIXGTMV)
id celda:2024
isla: RCT

MONTE VERDE","[(14.646111111111, -90.581388888889)]"
LAS HOJARASCAS (GMIXGTHO),"LAS HOJARASCAS(GMIXGTHO)
id celda:
isla: MONTE VERDE","[(14.625794444444, -90.607291666667)]"
CELDA CABAÑA SUIZA (GMIXGTCZ),"CELDA CABAÑA SUIZA(GMIXGTCZ)
id celda:2007
isla: MONTE VERDE","[(14.618555555556, -90.61563888888898)]"
MSAN ENTRADA A SAN JACINTO (GMIXGTMJ),"MSAN ENTRADA A SAN JACINTO(GMIXGTMJ)
id celda:
isla: MONTE VERDE","[(14.624308333333, -90.605483333333)]"
CELDA LOS CELAJES (MIXCO II) (GMIXGTCJ),"CELDA LOS CELAJES (MIXCO II)(GMIXGTCJ)
id celda:3540
isla: MONTE VERDE","[(14.632666666667, -90.61274999999999)]"
NIMAJAY (GMIXGTNI),"NIMAJAY(GMIXGTNI)
id celda:
isla: MONTE VERDE","[(14.646638888889, -90.60283333333298)]"
EL ENCINAL (GMIXGTEN),"EL ENCINAL(GMIXGTEN)
id celda:
Isla: MONTE VERDE","[(14.654722222222, -90.61916666666701)]"
SAN RAYMUNDO (GSRAGTSR),"SAN RAYMUNDO(GSRAGTSR)
id celda:2442
isla: MONTE VERDE","[(14.7665, -90.59629999999999)]"
CELDA CHUARRANCHO II (GCHUGTC2),"CELDA CHUARRANCHO II(GCHUGTC2)
id celda:4511
isla: MONTE VERDE","[(14.8296, -90.4972)]"
CELDA PAMOCA (GSRAGTPA),"CELDA PAMOCA(GSRAGTPA)
id celda:3234
Isla: MONTE VERDE","[(14.783722222222, -90.583305555556)]"
MSAN SAN IGNACIO (GMIXGTAI),"MSAN SAN IGNACIO(GMIXGTAI)
id celda:
isla: MONTE VERDE","[(14.642758333333, -90.595675)]"
MSAN COLONIA PABLO VI (GMIXGTM6),"MSAN COLONIA PABLO VI(GMIXGTM6)
id celda:
isla: MONTE VERDE","[(14.641086111111, -90.594430555556)]"
(CC_RCT_G),"(CC_RCT_G)
id celda:
isla: RCT","[(16.09622, -88.561347)]"
CELDA CONDADO SAN JUAN (GSJSGTCS),"CELDA CONDADO SAN JUAN(GSJSGTCS)
id celda:2753
Isla: MONTE VERDE","[(14.704544444444, -90.564394444444)]"
CELDA CIUDAD QUETZAL (GSJSGTCU),"CELDA CIUDAD QUETZAL(GSJSGTCU)
id celda:
isla: MONTE VERDE","[(14.68975, -90.577166666667)]"
SAN PEDRO SACATEPEQUEZ (GSPSGTPS),"SAN PEDRO SACATEPEQUEZ(GSPSGTPS)
id celda:
Isla: MONTE VERDE","[(14.6868, -90.642997222222)]"
SAN PEDRO SACATEPEQUEZ GUATEMALA (GUA109)_XT (GSPSGTSE),"SAN PEDRO SACATEPEQUEZ GUATEMALA (GUA109)_XT(GSPSGTSE)
id celda:3556
isla: MONTE VERDE","[(14.6856298, -90.6370671)]"
CELDA ALDEA MONTUFAR (GSJSGTAM),"CELDA ALDEA MONTUFAR(GSJSGTAM)
id celda:2480
isla: MONTE VERDE","[(14.798277777778, -90.64449999999998)]"
CELDA LLANO DE LA VIRGEN (GSRAGTLV),"CELDA LLANO DE LA VIRGEN(GSRAGTLV)
id celda:3235
isla: MONTE VERDE","[(14.78225, -90.598777777778)]"
CIUDAD QUETZAL (GSJSGTCQ),"CIUDAD QUETZAL(GSJSGTCQ)
id celda:2130
isla: MONTE VERDE","[(14.6898, -90.576897222222)]"
CELDA CARRANZA (GSJSGTCA),"CELDA CARRANZA(GSJSGTCA)
id celda:2672
isla: MONTE VERDE","[(14.688722222222, -90.566005555556)]"
(GSJGTC2N),"(GSJGTC2N)
id celda:
isla: MONTE VERDE","[(16.09622, -88.561347)]"
CIUDAD SATELITE (GMIXGTCS),"CIUDAD SATELITE(GMIXGTCS)
id celda:2117
isla: EL CARMEN
MONTE VERDE","[(14.5829, -90.600197222222)]"
CELDA NUEVA MONTSERRAT II (GMIXGTNO),"CELDA NUEVA MONTSERRAT II(GMIXGTNO)
id celda:2075
isla: MONTE VERDE","[(14.6384, -90.578111111111)]"
NODO EL PAJON_XT (GSCPGTNA),"NODO EL PAJON_XT(GSCPGTNA)
id celda:4388
Isla: DON JUSTO","[(14.549833, -90.4348)]"
CELDA LAS ANONAS FRAIJANES (GFRAGTAF),"CELDA LAS ANONAS FRAIJANES(GFRAGTAF)
id celda:2548
Isla: DON JUSTO","[(14.5269, -90.41560277777802)]"
CELDA SAN JOSE PINULA II (GSJPGTSO),"CELDA SAN JOSE PINULA II(GSJPGTSO)
id celda:4556
isla: DON JUSTO","[(14.542472222222, -90.411472222222)]"
SAN JOSE PINULA (GSJPGTSJ),"SAN JOSE PINULA(GSJPGTSJ)
id celda:1234
Isla: DON JUSTO","[(14.5486, -90.41610000000001)]"
SAN JOSE PINULA (GUA102)_XT (GSJPGTSU),"SAN JOSE PINULA (GUA102)_XT(GSJPGTSU)
id celda:6284
Isla: DON JUSTO","[(14.5454, -90.4223)]"
CELDA ALDEA EL CERRITO (GFRAGTAC),"CELDA ALDEA EL CERRITO(GFRAGTAC)
id celda:3794
Isla: DON JUSTO","[(14.4315, -90.450694444444)]"
CELDA FRAIJANES II (GFRAGTF2),"CELDA FRAIJANES II(GFRAGTF2)
id celda:1536
isla: DON JUSTO","[(14.456388888889, -90.44100000000002)]"
KILOMETRO 25.5 (GFRAGTK2),"KILOMETRO 25.5(GFRAGTK2)
id celda:9086
Isla: DON JUSTO
KILOMETRO 25.5","[(14.470430555556, -90.482422222222)]"
CELDA LAS FLORES COUBICADO (GFRAGTFO),"CELDA LAS FLORES COUBICADO(GFRAGTFO)
id celda:3969
isla: DON JUSTO","[(14.461, -90.482002777778)]"
RESIDENCIALES SAN JOSE (GSJPGTRS),"RESIDENCIALES SAN JOSE(GSJPGTRS)
id celda:9047
Isla: DON JUSTO","[(14.530705555556, -90.409886111111)]"
CELDA SANTO DOMINGO (GSCPGTSO),"CELDA SANTO DOMINGO(GSCPGTSO)
id celda:4514
Isla: DON JUSTO","[(14.570805555556, -90.448694444444)]"
CELDA PIEDRA PARADA (GSCPGTIP),"CELDA PIEDRA PARADA(GSCPGTIP)
id celda:1068
isla: DON JUSTO","[(14.5839, -90.4486)]"
LA SIERRA DON JUSTO (GSCPGTSD),"LA SIERRA DON JUSTO(GSCPGTSD)
id celda:9053
Isla: DON JUSTO","[(14.552916666667, -90.466663888889)]"
VILA VERDE (GSCPGTVV),"VILA VERDE(GSCPGTVV)
id celda:9111
Isla: DON JUSTO","[(14.511608333333, -90.465097222222)]"
